ID;Название;Предусловия;Шаги;Ожидаемый результат;Фактический результат;Статус;Приоритет;Тип теста;Автоматизация;Покрытие автотестами;Причина непокрытия
TC-AUTH-01;Успешная авторизация с валидными данными;Приложение установлено и запущено;1. На экране авторизации в поле Login ввести валидный логин.<br>2. В поле Password ввести валидный пароль.<br>3. Нажать кнопку SIGN IN.;Происходит переход на главный экран приложения (вкладка News).;;Высокий;Функциональный;Да;Да;
TC-AUTH-02;Неуспешная авторизация с неверным паролем;Приложение установлено и запущено;1. На экране авторизации в поле Login ввести валидный логин.<br>2. В поле Password ввести невалидный пароль.<br>3. Нажать кнопку SIGN IN.;Появляется сообщение об ошибке авторизации.;;Высокий;Функциональный;Да;Да;
TC-AUTH-03;Валидация пустого поля "Логин";Приложение установлено и запущено;1. Оставить поле Login пустым.<br>2. В поле Password ввести валидный пароль.<br>3. Нажать кнопку SIGN IN.;Появляется сообщение о необходимости заполнить поле Login.;;Средний;Функциональный;Нет;Нет;Низкий приоритет для автоматизации. Проверка выполняется ручным тестированием.
TC-AUTH-04;Валидация пустого поля "Пароль";Приложение установлено и запущено;1. В поле Login ввести валидный логин.<br>2. Оставить поле Password пустым.<br>3. Нажать кнопку SIGN IN.;Появляется сообщение о необходимости заполнить поле Password.;;Средний;Функциональный;Нет;Нет;Низкий приоритет для автоматизации. Проверка выполняется ручным тестированием.
TC-NAV-01;Основная навигация через боковое меню;Пользователь авторизован, находится на главном экране;1. Нажать кнопку "гамбургер" для открытия бокового меню.<br>2. Проверить, что отображаются пункты: Main, News, About.<br>3. Нажать пункт "News".<br>4. Нажать пункт "About".;1. Меню открывается.<br>2. Все три пункта видны.<br>3. Происходит переход в раздел News.<br>4. Происходит переход в раздел About.;;Высокий;Функциональный;Да;Частично;Автоматизирован только переход в "News". Переход в "About" также может быть автоматизирован, так как с главного экрана он работает корректно. Низкий приоритет для расширения покрытия.
TC-NAV-02;Проверка логики активности пунктов меню в разделе News;Пользователь авторизован и находится в разделе News;1. Открыть боковое меню (гамбургер).<br>2. Проверить состояние пункта "News".<br>3. Проверить состояние пункта "About".<br>4. Попытаться нажать пункт "About".;1. Пункт "News" должен быть неактивен (текущий раздел).<br>2. Пункт "About" должен быть активен.<br>3. Возможен переход в раздел About.;Пункт "News" активен, пункт "About" неактивен. Переход невозможен.;Высокий;Функциональный;Нет;Нет;Тест-кейс проверяет дефект (баг). Автоматизация тестов на проверку дефектов нецелесообразна до их исправления.
TC-NAV-03;Навигация через верхнюю панель;Пользователь авторизован, находится на главном экране;1. Нажать кнопку перехода в "Quotes" (иконка) на верхней панели.<br>2. Нажать кнопку "Log out" (выход) на верхней панели.;1. Происходит переход на вкладку Quotes.<br>2. Появляется диалог подтверждения/происходит выход на экран авторизации.;;Высокий;Функциональный;Да;Да;
TC-NEWS-CRUD-01;Полный E2E сценарий: создание → просмотр → редактирование → удаление новости;Пользователь авторизован;1. Перейти в Control Panel (через кнопку карандаш в разделе News).<br>2. Нажать "+" для создания новости.<br>3. Заполнить все обязательные поля: Category, Title, Publication date, Time, Description.<br>4. Нажать SAVE.<br>5. Найти созданную новость в списке Control Panel.<br>6. Нажать кнопку редактирования (карандаш) у новости.<br>7. Изменить Title.<br>8. Нажать SAVE.<br>9. Нажать кнопку удаления (корзина) у новости.<br>10. Подтвердить удаление.;1. Новость сохраняется.<br>2. Отображается в списке.<br>3. Открывается форма редактирования с предзаполненными данными.<br>4. Изменения сохраняются.<br>5. Новость удаляется из списка.;;Высокий;Функциональный;Да;Да;
TC-NEWS-CREATE-01;Создание новости со всеми обязательными полями;Пользователь авторизован и находится в Control Panel;1. Нажать кнопку "+" (добавить новость).<br>2. В поле Category выбрать "Объявления".<br>3. В поле Title ввести "Тестовая новость".<br>4. В поле Publication date выбрать текущую дату.<br>5. В поле Time выбрать 12:00.<br>6. В поле Description ввести "Тестовое описание новости".<br>7. Нажать кнопку SAVE.;Новость сохраняется и появляется в списке Control Panel.;;Высокий;Функциональный;Да;Да;
TC-NEWS-CREATE-02;Валидация обязательных полей при создании новости;Пользователь авторизован и находится в Control Panel;1. Нажать кнопку "+" (добавить новость).<br>2. Оставить поле Title пустым.<br>3. Заполнить все остальные обязательные поля.<br>4. Нажать кнопку SAVE.;Появляется сообщение об ошибке/подсветка поля Title. Сохранение не происходит.;;Высокий;Функциональный;Нет;Нет;Тест проверяет негативный сценарий и UI-сообщения. Автоматизация таких проверок сложна и требует точных ассертов на текст ошибок, которые могут меняться.
TC-NEWS-CREATE-03;Проверка поведения чекбокса Active при создании;Пользователь авторизован и находится в Control Panel;1. Нажать кнопку "+" (добавить новость).<br>2. Попытаться изменить состояние чекбокса Active.<br>3. Заполнить все обязательные поля.<br>4. Нажать SAVE.;1. Чекбокс либо доступен для переключения, либо четко заблокирован/скрыт.<br>2. Новость сохраняется.;Чекбокс отображается, но не позволяет изменить состояние.;Средний;Функциональный;Нет;Нет;Тест проверяет неоднозначное поведение/требует уточнения у разработчика. Автоматизировать можно только после утверждения корректного поведения.
TC-NEWS-CREATE-04;Валидация поля Publication date: нельзя выбрать прошедшую дату;Пользователь авторизован и находится на экране создания новости;1. Нажать на поле Publication date.<br>2. В открывшемся календаре попытаться выбрать вчерашнюю дату.;Выбор прошедшей даты невозможен (даты заблокированы) или появляется сообщение об ошибке.;;Средний;Функциональный;Нет;Нет;Проверка взаимодействия с календарём сложна для автоматизации и часто зависит от версии OS.
TC-NEWS-FILTER-01;Валидация дат в фильтре новостей;Пользователь авторизован, в Control Panel есть новости;1. Нажать кнопку "Фильтр" в Control Panel.<br>2. В поле "Start Date" выбрать 10 января 2024.<br>3. В поле "End Date" выбрать 5 января 2024 (дату раньше начальной).<br>4. Нажать кнопку FILTER.;Появляется сообщение об ошибке: "Конечная дата не может быть раньше начальной". ИЛИ такая комбинация дат невозможна для выбора.;Можно выбрать такие даты и применить фильтр.;Средний;Функциональный;Нет;Нет;Тест-кейс проверяет дефект (баг). Автоматизация тестов на проверку дефектов нецелесообразна до их исправления.
TC-NEWS-FILTER-02;Работа фильтра новостей по категории;Пользователь авторизован, в Control Panel есть несколько новостей разных категорий;1. Нажать кнопку "Фильтр" в Control Panel.<br>2. В выпадающем списке Category выбрать "День рождения".<br>3. Нажать кнопку FILTER.;В списке отображаются только новости категории "День рождения".;;Высокий;Функциональный;Нет;Нет;Для автоматизации требуются предварительно созданные тестовые данные (новости определенных категорий) и проверка динамически меняющегося списка. Средний приоритет автоматизации.
TC-NEWS-SORT-01;Сортировка новостей по дате публикации;Пользователь авторизован, в Control Panel есть несколько новостей с разными датами;1. Убедиться, что в Control Panel есть новости.<br>2. Нажать кнопку "Сортировка".<br>3. Запомнить порядок новостей.<br>4. Еще раз нажать кнопку "Сортировка".;1. При первом нажатии новости сортируются по Publication date (возрастание/убывание).<br>2. При повторном нажатии порядок меняется на противоположный.;;Высокий;Функциональный;Да;Нет;Автоматизация отложена. Для проверки сортировки требуется сложная логика сравнения дат в списке UI. Высокий приоритет для автоматизации в будущем.
TC-NEWS-DISPLAY-01;Проверка отображения Creation date в Control Panel;Пользователь авторизован, создана хотя бы одна новость;1. Перейти в Control Panel.<br>2. Найти созданную новость в списке.<br>3. Проверить значение в поле "Creation date".;Creation date отображается в читаемом формате (например, "01.12.2024").;Creation date отображается как "57936" или подобное некорректное значение.;Высокий;UI;Нет;Нет;Тест-кейс проверяет дефект (баг) отображения данных. Автоматизация UI-тестов на проверку форматирования текста возможна, но нецелесообразна для проверки бага.
TC-NEWS-MAIN-01;Навигация с главного экрана к списку новостей;Пользователь авторизован, находится на главном экране;1. На главном экране найти блок "News".<br>2. Нажать кнопку "ALL NEWS".;Происходит переход на экран полного списка новостей.;;Средний;Функциональный;Нет;Нет;Простой переход, низкий приоритет для автоматизации в рамках данного проекта.
TC-NEWS-INTEGRATION-01;[БЛОКИРУЮЩАЯ ПРОБЛЕМА] Новости из Control Panel не отображаются в основном списке;Пользователь авторизован, в Control Panel создана новость;1. Перейти в Control Panel и создать новость.<br>2. Вернуться на главный экран.<br>3. Нажать "ALL NEWS" для перехода к полному списку новостей.<br>4. Проверить, отображается ли созданная новость.;Созданная новость отображается в списке раздела News.;Созданная новость не отображается.;Высокий;Функциональный;Нет;Нет;Тест проверяет критическую интеграционную проблему, которая блокирует другие проверки (например, сортировку в основном списке). Автоматизировать невозможно, пока проблема не решена.
TC-QUOTES-01;Работа с цитатами;Пользователь авторизован;1. Нажать на верхней панели кнопку перехода в "Quotes".<br>2. Прокрутить список цитат.<br>3. Нажать стрелку у одной из цитат.<br>4. Еще раз нажать стрелку у той же цитаты.;1. Открывается вкладка Quotes с заголовком "Love is all".<br>2. Список прокручивается.<br>3. Под цитатой раскрывается отзыв пользователя.<br>4. Отзыв скрывается.;;Низкий;Функциональный;Нет;Нет;Функциональность имеет низкий приоритет. Автоматизация взаимодействия со списком (прокрутка, раскрытие) не входит в основные цели проекта.
TC-ABOUT-01;Проверка раздела "О приложении";Пользователь авторизован;1. Открыть боковое меню.<br>2. Нажать пункт "About".<br>3. Проверить отображение версии приложения.<br>4. Нажать ссылку "Privacy Policy".<br>5. Вернуться назад.<br>6. Нажать ссылку "Terms of use".;1. Открывается раздел About.<br>2. Отображается версия приложения.<br>3. Ссылка "Privacy Policy" открывает соответствующий документ/страницу.<br>4. Ссылка "Terms of use" открывает соответствующий документ/страницу.;;Средний;Функциональный;Нет;Нет;Проверка содержит переход по внешним ссылкам и проверку веб-контента, что выходит за рамки UI-автотестов для мобильного приложения.
TC-LOGOUT-01;Выход из системы;Пользователь авторизован;1. Нажать кнопку "Log out" на верхней панели.<br>2. Подтвердить выход.;Происходит переход на экран авторизации.;;Высокий;Функциональный;Да;Да;